poem_id,prompt_id,iterations,schedule,emotion,measure,value,weight,weighted_value
2021-06-18-07-15-42,0,10,alpha,apathetic,mean_rhyme_level,0,100,0
2021-06-18-07-15-42,0,10,alpha,apathetic,mean_longest_alliteration_chain,0.75,50,37.5
2021-06-18-07-15-42,0,10,alpha,apathetic,mean_alliteration_total,2.875,5,14.375
2021-06-18-07-15-42,0,10,alpha,apathetic,mean_couplet_phoneme_consistency,5.375,1,5.375
2021-06-18-07-16-30,0,10,alpha,anxious,mean_rhyme_level,0,100,0
2021-06-18-07-16-30,0,10,alpha,anxious,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-16-30,0,10,alpha,anxious,mean_alliteration_total,3.875,5,19.375
2021-06-18-07-16-30,0,10,alpha,anxious,mean_couplet_phoneme_consistency,4.25,1,4.25
2021-06-18-07-17-24,0,10,alpha,embarrassed,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-17-24,0,10,alpha,embarrassed,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-17-24,0,10,alpha,embarrassed,mean_alliteration_total,3.875,5,19.375
2021-06-18-07-17-24,0,10,alpha,embarrassed,mean_couplet_phoneme_consistency,2,1,2
2021-06-18-07-18-15,0,10,alpha,esteemed,mean_rhyme_level,0,100,0
2021-06-18-07-18-15,0,10,alpha,esteemed,mean_longest_alliteration_chain,0.625,50,31.25
2021-06-18-07-18-15,0,10,alpha,esteemed,mean_alliteration_total,3,5,15
2021-06-18-07-18-15,0,10,alpha,esteemed,mean_couplet_phoneme_consistency,2,1,2
2021-06-18-07-18-59,0,10,alpha,safe,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-18-59,0,10,alpha,safe,mean_longest_alliteration_chain,1.25,50,62.5
2021-06-18-07-18-59,0,10,alpha,safe,mean_alliteration_total,3.375,5,16.875
2021-06-18-07-18-59,0,10,alpha,safe,mean_couplet_phoneme_consistency,1.75,1,1.75
2021-06-18-07-19-42,0,10,alpha,lost,mean_rhyme_level,0.25,100,25.0
2021-06-18-07-19-42,0,10,alpha,lost,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-19-42,0,10,alpha,lost,mean_alliteration_total,2.75,5,13.75
2021-06-18-07-19-42,0,10,alpha,lost,mean_couplet_phoneme_consistency,5.25,1,5.25
2021-06-18-07-20-31,0,10,alpha,alone,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-20-31,0,10,alpha,alone,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-20-31,0,10,alpha,alone,mean_alliteration_total,3.25,5,16.25
2021-06-18-07-20-31,0,10,alpha,alone,mean_couplet_phoneme_consistency,4.125,1,4.125
2021-06-18-07-21-19,0,10,alpha,singledout,mean_rhyme_level,0,100,0
2021-06-18-07-21-19,0,10,alpha,singledout,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-21-19,0,10,alpha,singledout,mean_alliteration_total,3.375,5,16.875
2021-06-18-07-21-19,0,10,alpha,singledout,mean_couplet_phoneme_consistency,3,1,3
2021-06-18-07-22-00,0,10,alpha,fearful,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-22-00,0,10,alpha,fearful,mean_longest_alliteration_chain,0.5,50,25.0
2021-06-18-07-22-00,0,10,alpha,fearful,mean_alliteration_total,3.125,5,15.625
2021-06-18-07-22-00,0,10,alpha,fearful,mean_couplet_phoneme_consistency,2.375,1,2.375
2021-06-18-07-22-48,0,10,alpha,fearless,mean_rhyme_level,0,100,0
2021-06-18-07-22-48,0,10,alpha,fearless,mean_longest_alliteration_chain,1.125,50,56.25
2021-06-18-07-22-48,0,10,alpha,fearless,mean_alliteration_total,3.75,5,18.75
2021-06-18-07-22-48,0,10,alpha,fearless,mean_couplet_phoneme_consistency,5.625,1,5.625
2021-06-18-07-23-34,0,10,alpha,lustful,mean_rhyme_level,0.125,100,12.5
2021-06-18-07-23-34,0,10,alpha,lustful,mean_longest_alliteration_chain,0.875,50,43.75
2021-06-18-07-23-34,0,10,alpha,lustful,mean_alliteration_total,3.25,5,16.25
2021-06-18-07-23-34,0,10,alpha,lustful,mean_couplet_phoneme_consistency,4.125,1,4.125
2021-06-18-07-24-21,0,10,alpha,hated,mean_rhyme_level,0.125,100,12.5
